experimentId;device_id;motion_tag;userPhoneLocation;timestamp;pressure
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3091
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3096
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3064
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3015
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.32153
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3074
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2859
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3076
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.29517
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.30176
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3098
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.29663
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.28613
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.30273
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3042
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.32227
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3142
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3098
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.35645
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3484
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3506
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.334
