experimentId;device_id;motion_tag;userPhoneLocation;timestamp;x;y;z;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368813;0.30646718;9.96497200;0.83320760;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368302;-0.33040990;9.82131500;0.40223816;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368552;-0.13886794;9.92187500;0.54828894;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368042;0.49082634;10.12538800;0.99841260;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368292;-0.30167863;9.85004600;0.31125572;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368033;0.50279770;10.13017700;1.03193250;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368802;0.27534160;9.95060600;0.77095650;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368542;-0.12450229;9.93863500;0.06703970;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368792;0.18914771;9.94102900;0.68476260;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368282;-0.25618740;9.90990400;0.22027329;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368532;-0.11013664;9.95539500;0.10055954;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368023;0.56026030;10.13257100;0.96728700;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368273;-0.22027329;9.89553700;0.27294734;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368013;0.56265455;10.15411950;0.76377370;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368783;0.04549122;9.91708700;0.66081980;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368008;0.52913475;10.14454300;0.52674043;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368523;-0.10295381;9.93624000;0.01436565;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368772;-0.11492519;9.95300000;0.62730000;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368262;-0.15323359;9.92426900;0.35914123;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368513;-0.10295381;9.91948000;-0.22745611;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368892;0.39026680;9.83568100;0.62490570;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368383;0.03830840;9.85244100;0.67039690;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368633;-0.14844504;9.87877750;2.09259630;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368123;0.40942100;10.04398250;1.06305800;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368372;0.08379962;9.77343000;0.72785956;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368112;0.29210153;10.06553200;0.93855570;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368882;0.43815228;9.78300700;0.78532210;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368623;-0.11492519;9.87877750;1.96809390;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368872;0.43336374;9.85004600;0.92419010;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368362;0.06703970;9.77582400;0.79968780;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368612;-0.08619389;9.88356700;1.89147710;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368102;0.21787901;10.09186800;0.98883550;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368352;0.08140534;9.79019000;0.86193895;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368093;0.18675344;10.09665700;0.99841260;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368862;0.43096948;9.86201800;0.94573855;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368602;-0.05985687;9.88356700;1.90344850;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368852;0.37111259;9.85722900;0.92419010;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368342;-0.03830840;9.77582400;0.75419660;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368592;-0.06943397;9.88835500;1.68556950;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368082;0.26337022;10.07271400;1.06305800;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368333;-0.20111908;9.78061300;0.64166564;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368076;0.37350687;10.11581100;1.06305800;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368842;0.32801566;9.92187500;0.96728700;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368582;-0.09098245;9.90032700;1.40065070;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368832;0.38547826;9.95539500;0.89067024;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598368323;-0.33998700;9.79258400;0.59856870;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369212;0.08379962;9.95539500;1.01996110;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369982;1.21629150;9.91948000;0.99601830;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369722;2.03034500;9.52203100;0.98404694;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369973;1.19474320;9.81173800;1.03193250;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369462;0.64166564;9.94102900;0.49322060;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369712;1.96809390;9.56273400;1.07981790;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369203;-0.10055954;9.89553700;1.74542630;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369452;0.65363705;9.90990400;0.62011720;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369192;-0.13407940;9.88356700;1.89866000;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369704;1.85316870;9.58667700;1.08460650;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369962;1.18037750;9.71357250;1.01996110;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369952;1.26417710;9.67526400;0.90743020;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369442;0.69912827;9.86201800;0.56983740;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369692;1.79331180;9.64653300;1.04150950;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369182;-0.16999350;9.85722900;2.17400150;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369432;0.70631105;9.85722900;0.54110610;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369172;-0.21069619;9.85004600;1.99203660;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369942;1.41501640;9.68005300;0.78053360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369682;1.77894620;9.74948700;0.99122980;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369932;1.44614200;9.60822500;0.64166564;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369422;0.73504240;9.84765200;0.55786604;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369672;1.81725450;9.94581800;0.84517900;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369162;-0.24421602;9.84046900;1.81964890;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369412;0.82123625;9.79258400;0.51716334;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369921;1.60176980;9.62259000;0.54110610;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369152;-0.25618740;9.83328600;1.66880950;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369922;1.51078740;9.62259000;0.54350036;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369532;0.96489275;10.08947400;0.80687064;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369791;1.64247250;9.55555100;0.09577099;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369272;0.31604427;9.89074900;0.68715686;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369782;1.75979200;9.54118500;0.20351335;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369522;0.89785310;10.06553200;0.75898510;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369772;1.83162020;9.50766600;0.23703320;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369262;0.30167863;9.91229700;0.75419660;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369512;0.87630457;10.03440600;0.80208206;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369002;0.09337672;9.86201800;-0.13407940;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369252;0.23942748;9.86201800;0.71828246;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369762;1.84838020;9.46696300;0.30407290;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369502;0.83799620;10.01764600;0.79729350;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369752;1.89626560;9.46217400;0.41181526;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369242;0.12450229;9.93384600;0.39026680;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369493;0.75898510;9.99370300;0.76616794;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369232;0.15323359;9.95300000;0.18675344;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369742;1.94893970;9.46696300;0.55547180;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369992;1.34079380;9.92666300;0.95531565;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369482;0.70152250;9.95778800;0.60096300;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616598369732;1.98245950;9.48611600;0.76377370;
